ID,Category,Scenario,Implemented,AutomatedTestStatus,StatusSummary
SUB-RESUME-02,Resume,Resume a non-paused (active) subscription,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-RESUME-03,Resume,Resume a cancelled subscription,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-RESUME-04,Resume,Auto-resume when pause period ends,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-RESUME-05,Resume,Auto-resume ignores still-paused-in-future subs,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-RESUME-06,Resume,Resume uses retained scheduled delivery if present,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-RESUME-07,Resume,Resume recalculates when no retained slot,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-CANCEL-01,Cancel,Cancel before cut-off with refund,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CANCEL-02,Cancel,Cancel before cut-off but no refundable order found,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CANCEL-03,Cancel,Cancel before cut-off with zero refundable amount,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CANCEL-04,Cancel,Cancel before cut-off but Stripe refund fails,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CANCEL-05,Cancel,Cancel after cut-off (scheduled cancellation),Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CANCEL-06,Cancel,Cancel an already-cancelled subscription,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CANCEL-07,Cancel,Cancel with optional reason,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CANCEL-08,Cancel,Stripe cancel already removed remotely,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-MULTI-01,Multi-day,Create weekly multi-day subscription with per-day plans,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-MULTI-02,Multi-day,Multi-day create with a day plan referencing an unselected day,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-MULTI-03,Multi-day,Multi-day create with duplicate day plans,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-MULTI-04,Multi-day,Multi-day create with a day plan having no products,Yes,Yes,Covered by automated backend subscription tests (portal/webhook suite).
SUB-MULTI-05,Multi-day,Multi-day create missing a plan for a selected day,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-MULTI-06,Multi-day,Multi-day create without explicit plans (defaults),Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-MULTI-07,Multi-day,Order generation uses day-specific plan,Yes,Yes,Covered by automated backend subscription tests (portal/webhook suite).
SUB-MULTI-08,Multi-day,Edit a single day's products in detail page (before cut-off),Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-MULTI-09,Multi-day,Edit a single day's products after cut-off,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-MULTI-10,Multi-day,Send deliveryDayPlans on a single-day/non-weekly subscription,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-MULTI-11,Multi-day,Add products via add-products assigning to multiple days,Yes,No,No direct automated test found in current subscription test suites.
SUB-MULTI-12,Multi-day,Add-products save blocked when a product has no day chosen,Yes,No,No direct automated test found in current subscription test suites.
SUB-MULTI-13,Multi-day,Reduce a multi-day sub to single day clears day plans,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-MULTI-14,Multi-day,Multi-day next delivery date picks nearest selected weekday,Yes,Partial,Partially covered by automated tests; related behavior asserted but not fully end-to-end for this exact rule.
SUB-MULTI-15,Multi-day,Recurring cadence for multi-day steps day-to-day,Yes,Partial,Partially covered by automated tests; related behavior asserted but not fully end-to-end for this exact rule.
SUB-PAY-01,Payment,Recurring subscription invoice payment fails,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-PAY-02,Payment,Payment method declined when increasing items pre-cut-off,Yes,Yes,Covered by automated backend subscription tests (portal/webhook suite).
SUB-PAY-03,Payment,Card declined during initial subscription creation,Yes,Yes,Covered by automated backend subscription tests (portal/webhook suite).
SUB-PAY-04,Payment,Customer updates card then failed subscription retries succeed,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-PAY-05,Payment,No default card when charging delta,Yes,Yes,Covered by automated backend subscription tests (portal/webhook suite).
SUB-WEBHOOK-01,Webhook,First (create) invoice generates first order,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-WEBHOOK-02,Webhook,Recurring invoice advances next delivery date,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-WEBHOOK-03,Webhook,Duplicate invoice webhook is idempotent,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-WEBHOOK-04,Webhook,Pending post-cut-off changes promoted on paid delivery,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-WEBHOOK-05,Webhook,Pending changes not yet effective are retained,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-WEBHOOK-06,Webhook,Deferred price sync applied after invoice paid,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-WEBHOOK-07,Webhook,Invoice for unknown local subscription,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-WEBHOOK-08,Webhook,Subscription with no populated customer,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-WEBHOOK-09,Webhook,Non-subscription invoice ignored,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-WEBHOOK-10,Webhook,Stripe subscription.updated syncs cancelled status,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-WEBHOOK-11,Webhook,Stripe subscription.updated syncs paused status,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-WEBHOOK-12,Webhook,Stripe subscription.updated reactivates,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-WEBHOOK-13,Webhook,Stripe subscription.deleted cancels locally,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-WEBHOOK-14,Webhook,Geocode failure is non-fatal on order creation,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-WEBHOOK-15,Webhook,New Stripe API invoice shape re-resolved to legacy,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-SCHED-01,Scheduling,Three upcoming delivery slots pre-generated,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-SCHED-02,Scheduling,No duplicate slot for an existing date,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-SCHED-03,Scheduling,Deliveries list endpoint returns ownership-scoped slots,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-SCHED-04,Scheduling,Deliveries list for non-owned subscription,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-UPDATE-01,Update,Change delivery day before cut-off,Yes,Yes,Covered by automated backend subscription tests (portal/webhook suite).
SUB-UPDATE-02,Update,Change delivery day after cut-off,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-UPDATE-03,Update,Change to an unavailable delivery day,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-UPDATE-04,Update,Change to no valid day,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-UPDATE-05,Update,Change frequency,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-UPDATE-06,Update,Change delivery address before cut-off,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-UPDATE-07,Update,Change delivery address after cut-off,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-UPDATE-08,Update,Change address to unknown id,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-UPDATE-09,Update,Update notes only,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-UPDATE-10,Update,Update on paused subscription,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-UPDATE-11,Update,Update with no changed fields,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-AUTH-01,Auth,Unauthenticated request,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-AUTH-02,Auth,Access another customer's subscription,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-AUTH-03,Validation,Invalid subscription id format,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-AUTH-04,Validation,Invalid item id format,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-AUTH-05,Validation,Create with unknown body fields,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-AUTH-06,Validation,Create with invalid frequency,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-AUTH-07,Validation,Preferred days out of range or duplicated,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-AUTH-08,Validation,Add item with quantity < 1,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-SETTINGS-01,Settings,Admin sets delivery days to empty,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-SETTINGS-02,Settings,Settings auto-created with defaults on first access,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-SETTINGS-03,Settings,Admin narrows delivery days affecting new subscriptions,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-SETTINGS-04,Settings,Customer settings endpoint returns delivery config,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-STRIPE-01,Stripe Sync,Price sync archives old price,Yes,Yes,Covered by automated backend subscription tests (portal/webhook suite).
SUB-STRIPE-02,Stripe Sync,Price sync failure is non-fatal,Yes,Yes,Covered by automated backend subscription tests (portal/webhook suite).
SUB-STRIPE-03,Stripe Sync,Test clock time used for date math,Yes,Yes,Covered by automated backend subscription tests (portal/webhook suite).
SUB-LIST-01,Listing,List subscriptions filtered by status,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-LIST-02,Listing,Subscription list shows multi-day labels,Yes,Yes,Covered by automated backend subscription tests (portal/webhook suite).
SUB-UI-01,UI,Preferred-day chips do not clip long day names,Yes,No,No direct automated test found in current subscription test suites.
SUB-UI-02,UI,Per-day product editor shown only for multi-day weekly,Yes,No,No direct automated test found in current subscription test suites.
SUB-UI-03,UI,Scheduled change hint after cut-off,Yes,No,No direct automated test found in current subscription test suites.
SUB-UI-04,UI,Discard resets per-day draft,Yes,No,No direct automated test found in current subscription test suites.
